submission_pk,User,Prediction score,Duration
485022,Ali_iDST_Deep_Learning,0.6577 (1),0.0000 (1),
801999,cangling,0.6567 (2),0.0000 (1),
455453,EOS_Data_Analytics,0.6560 (3),0.0000 (1),
481237,Novelfor,0.6559 (4),0.0000 (1),
802173,CP0615,0.6535 (5),0.0000 (1),
852394,zsd,0.6516 (6),0.0000 (1),
594253,JiamingLiu,0.6515 (7),0.0000 (1),
596888,sunday-D,0.6509 (8),0.0000 (1),
776811,dyterence,0.6492 (9),0.0000 (1),
489638,UnGG,0.6488 (10),0.0000 (1),
741598,HaotianYan,0.6482 (11),0.0000 (1),
491672,linghanli,0.6479 (12),0.0000 (1),
456999,zlckanata,0.6466 (13),0.0000 (1),
502944,AzNBoyStride,0.6465 (14),0.0000 (1),
714755,Yishion01,0.6460 (15),0.0000 (1),
503473,aecampos,0.6457 (16),0.0000 (1),
489972,LoveShuffle,0.6451 (17),0.0000 (1),
482170,monica88,0.6444 (18),0.0000 (1),
753493,pzhang1990,0.6443 (19),0.0000 (1),
483191,yejunyu,0.6440 (20),0.0000 (1),
656126,Miaowshroom,0.6433 (21),0.0000 (1),
860778,luna727,0.6421 (22),0.0000 (1),
542747,kkurni,0.6419 (23),0.0000 (1),
499950,zhaodong,0.6409 (24),0.0000 (1),
784182,melancholy,0.6406 (25),0.0000 (1),
658274,JingChao.Liu,0.6403 (26),0.0000 (1),
579907,kr_fool,0.6388 (27),0.0000 (1),
496869,dcjt_gjy,0.6369 (28),0.0000 (1),
479439,LinYi,0.6365 (29),0.0000 (1),
457761,AutonomousSatelliteDrivers,0.6361 (30),0.0000 (1),
524570,XingqunQi,0.6357 (31),0.0000 (1),
838937,kangkai,0.6355 (32),0.0000 (1),
635907,gsh,0.6348 (33),0.0000 (1),
493675,HornGate,0.6308 (34),0.0000 (1),
457757,jxd,0.6306 (35),0.0000 (1),
620565,Katherine_Yan,0.6301 (36),0.0000 (1),
535377,zhuozheng,0.6292 (37),0.0000 (1),
555370,zaoyifan,0.6253 (38),0.0000 (1),
503663,dofx,0.6245 (39),0.0000 (1),
458315,maksimovka,0.6230 (40),0.0000 (1),
455831,rshvetsov,0.6223 (41),0.0000 (1),
